session_id,start,end,cost_estimate_usd,cost_actual_usd,cost_status,ce_query_date
qnt-451-dev-20260906,2026-09-06T16:30:00Z,2026-09-06T16:35:00Z,0.01,0.25,final,2026-09-08
qnt-452-dev-20260906,2026-09-06T17:10:00Z,2026-09-06T17:22:00Z,0.11,0.25,final,2026-09-08
qnt-452-dev-review-fix-20260906,2026-09-06T17:26:00Z,2026-09-06T17:31:00Z,0.01,0.25,final,2026-09-08
qnt-455-dev-20260907,2026-09-07T15:54:00Z,2026-09-07T16:06:00Z,0.02,,pending,
qnt-458-ac1-20260908135229,2026-09-08T13:52:29.989276Z,2026-09-08T14:19:37.498282Z,0.07,,pending,
qnt-458-ac5-20260908142345,2026-09-08T14:23:45.698033Z,2026-09-08T14:27:05.987233Z,0.02,,pending,
qnt-459-ac1-20260908152223,2026-09-08T15:22:23.889283Z,2026-09-08T15:30:53.903522Z,0.03,,reaper-terminated,
qnt-459-ac3-20260908153554,2026-09-08T15:35:54.134943Z,2026-09-08T15:43:27.641755Z,0.03,,pending,
qnt-459-ac1b-20260908160216,2026-09-08T16:02:16.885266Z,2026-09-08T16:10:28.015177Z,0.03,,reaper-terminated,
qnt-459-ac3b-20260908161502,2026-09-08T16:15:02.301502Z,2026-09-08T16:22:29.714204Z,0.03,,pending,
